15
0 10 20 30 40 50 60 70 80 90 100 110 120 130 140
10 0 15 25 35 45 55 65 75 85 95 105 115 125 135
20 15 0 30 40 50 60 70 80 90 100 110 120 130 140
30 25 30 0 50 60 70 80 90 100 110 120 130 140 150
40 35 40 50 0 70 80 90 100 110 120 130 140 150 160
50 45 50 60 70 0 100 110 120 130 140 150 160 170 180
60 55 60 70 80 100 0 120 130 140 150 160 170 180 190
70 65 70 80 90 110 120 0 140 150 160 170 180 190 200
80 75 80 90 100 120 130 140 0 160 170 180 190 200 210
90 85 90 100 110 130 140 150 160 0 180 190 200 210 220
100 95 100 110 120 140 150 160 170 180 0 200 210 220 230
110 105 110 120 130 150 160 170 180 190 200 0 220 230 240
120 115 120 130 140 160 170 180 190 200 210 220 0 240 250
130 125 130 140 150 170 180 190 200 210 220 230 240 0 260
140 135 140 150 160 180 190 200 210 220 230 240 250 260 0
